High0,Close0,Open0,Low0,Volume0,QuoteAssetVolume0,TakerBuyBaseAssetVolume0,TakerBuyQuoteAssetVolume0,TradeNum0,OpenTime0,CloseTime0,prof0,sym0,High1,Close1,Open1,Low1,Volume1,QuoteAssetVolume1,TakerBuyBaseAssetVolume1,TakerBuyQuoteAssetVolume1,TradeNum1,OpenTime1,CloseTime1,prof1,sym1,High2,Close2,Open2,Low2,Volume2,QuoteAssetVolume2,TakerBuyBaseAssetVolume2,TakerBuyQuoteAssetVolume2,TradeNum2,OpenTime2,CloseTime2,prof2,sym2,High3,Close3,Open3,Low3,Volume3,QuoteAssetVolume3,TakerBuyBaseAssetVolume3,TakerBuyQuoteAssetVolume3,TradeNum3,OpenTime3,CloseTime3,prof3,sym3,High4,Close4,Open4,Low4,Volume4,QuoteAssetVolume4,TakerBuyBaseAssetVolume4,TakerBuyQuoteAssetVolume4,TradeNum4,OpenTime4,CloseTime4,prof4,sym4
16957.62000000,16935.69000000,16946.45000000,16934.00000000,597.86830000,10131208.17523520,275.53947000,4669399.12714460,15388,1670113200000,1670113499999,0,BTCUSDT,16943.42000000,16937.25000000,16935.69000000,16931.99000000,395.43318000,6697915.85874430,190.51929000,3227135.39380260,10729,1670113500000,1670113799999,0,BTCUSDT,16945.00000000,16942.74000000,16937.93000000,16930.93000000,962.26368000,16297482.51844450,557.77261000,9446988.85925600,18782,1670113800000,1670114099999,0,BTCUSDT,16952.22000000,16945.78000000,16942.74000000,16931.81000000,532.91012000,9027552.13534090,249.62190000,4228711.41896810,13854,1670114100000,1670114399999,0,BTCUSDT,16967.53000000,16958.70000000,16945.78000000,16942.04000000,845.01229000,14327035.39556230,435.70990000,7387630.42573160,16424,1670114400000,1670114699999,0,BTCUSDT
16943.42000000,16937.25000000,16935.69000000,16931.99000000,395.43318000,6697915.85874430,190.51929000,3227135.39380260,10729,1670113500000,1670113799999,0,BTCUSDT,16945.00000000,16942.74000000,16937.93000000,16930.93000000,962.26368000,16297482.51844450,557.77261000,9446988.85925600,18782,1670113800000,1670114099999,0,BTCUSDT,16952.22000000,16945.78000000,16942.74000000,16931.81000000,532.91012000,9027552.13534090,249.62190000,4228711.41896810,13854,1670114100000,1670114399999,0,BTCUSDT,16967.53000000,16958.70000000,16945.78000000,16942.04000000,845.01229000,14327035.39556230,435.70990000,7387630.42573160,16424,1670114400000,1670114699999,0,BTCUSDT,16964.12000000,16952.96000000,16958.70000000,16952.54000000,634.37786000,10757675.93687190,248.90506000,4220969.63896050,12717,1670114700000,1670114999999,0,BTCUSDT
16945.00000000,16942.74000000,16937.93000000,16930.93000000,962.26368000,16297482.51844450,557.77261000,9446988.85925600,18782,1670113800000,1670114099999,0,BTCUSDT,16952.22000000,16945.78000000,16942.74000000,16931.81000000,532.91012000,9027552.13534090,249.62190000,4228711.41896810,13854,1670114100000,1670114399999,0,BTCUSDT,16967.53000000,16958.70000000,16945.78000000,16942.04000000,845.01229000,14327035.39556230,435.70990000,7387630.42573160,16424,1670114400000,1670114699999,0,BTCUSDT,16964.12000000,16952.96000000,16958.70000000,16952.54000000,634.37786000,10757675.93687190,248.90506000,4220969.63896050,12717,1670114700000,1670114999999,0,BTCUSDT,16957.46000000,16949.23000000,16952.55000000,16946.37000000,381.18155000,6461626.67645550,170.88674000,2896836.64423160,10834,1670115000000,1670115299999,0,BTCUSDT
16952.22000000,16945.78000000,16942.74000000,16931.81000000,532.91012000,9027552.13534090,249.62190000,4228711.41896810,13854,1670114100000,1670114399999,0,BTCUSDT,16967.53000000,16958.70000000,16945.78000000,16942.04000000,845.01229000,14327035.39556230,435.70990000,7387630.42573160,16424,1670114400000,1670114699999,0,BTCUSDT,16964.12000000,16952.96000000,16958.70000000,16952.54000000,634.37786000,10757675.93687190,248.90506000,4220969.63896050,12717,1670114700000,1670114999999,0,BTCUSDT,16957.46000000,16949.23000000,16952.55000000,16946.37000000,381.18155000,6461626.67645550,170.88674000,2896836.64423160,10834,1670115000000,1670115299999,0,BTCUSDT,16951.00000000,16948.14000000,16948.83000000,16945.48000000,220.33357000,3734201.46349750,101.58332000,1721666.46947680,8156,1670115300000,1670115599999,0,BTCUSDT
16967.53000000,16958.70000000,16945.78000000,16942.04000000,845.01229000,14327035.39556230,435.70990000,7387630.42573160,16424,1670114400000,1670114699999,0,BTCUSDT,16964.12000000,16952.96000000,16958.70000000,16952.54000000,634.37786000,10757675.93687190,248.90506000,4220969.63896050,12717,1670114700000,1670114999999,0,BTCUSDT,16957.46000000,16949.23000000,16952.55000000,16946.37000000,381.18155000,6461626.67645550,170.88674000,2896836.64423160,10834,1670115000000,1670115299999,0,BTCUSDT,16951.00000000,16948.14000000,16948.83000000,16945.48000000,220.33357000,3734201.46349750,101.58332000,1721666.46947680,8156,1670115300000,1670115599999,0,BTCUSDT,16950.27000000,16948.90000000,16948.56000000,16943.08000000,568.09750000,9627847.65717570,296.28583000,5021497.63908870,11443,1670115600000,1670115899999,0,BTCUSDT
16964.12000000,16952.96000000,16958.70000000,16952.54000000,634.37786000,10757675.93687190,248.90506000,4220969.63896050,12717,1670114700000,1670114999999,0,BTCUSDT,16957.46000000,16949.23000000,16952.55000000,16946.37000000,381.18155000,6461626.67645550,170.88674000,2896836.64423160,10834,1670115000000,1670115299999,0,BTCUSDT,16951.00000000,16948.14000000,16948.83000000,16945.48000000,220.33357000,3734201.46349750,101.58332000,1721666.46947680,8156,1670115300000,1670115599999,0,BTCUSDT,16950.27000000,16948.90000000,16948.56000000,16943.08000000,568.09750000,9627847.65717570,296.28583000,5021497.63908870,11443,1670115600000,1670115899999,0,BTCUSDT,16952.71000000,16946.06000000,16948.44000000,16945.33000000,359.96628000,6100692.23674030,162.46110000,2753479.37252150,9312,1670115900000,1670116199999,0,BTCUSDT
16957.46000000,16949.23000000,16952.55000000,16946.37000000,381.18155000,6461626.67645550,170.88674000,2896836.64423160,10834,1670115000000,1670115299999,0,BTCUSDT,16951.00000000,16948.14000000,16948.83000000,16945.48000000,220.33357000,3734201.46349750,101.58332000,1721666.46947680,8156,1670115300000,1670115599999,0,BTCUSDT,16950.27000000,16948.90000000,16948.56000000,16943.08000000,568.09750000,9627847.65717570,296.28583000,5021497.63908870,11443,1670115600000,1670115899999,0,BTCUSDT,16952.71000000,16946.06000000,16948.44000000,16945.33000000,359.96628000,6100692.23674030,162.46110000,2753479.37252150,9312,1670115900000,1670116199999,0,BTCUSDT,16951.13000000,16947.22000000,16946.60000000,16944.00000000,470.15949000,7967667.56976590,222.37116000,3768642.30438060,9997,1670116200000,1670116499999,0,BTCUSDT
16951.00000000,16948.14000000,16948.83000000,16945.48000000,220.33357000,3734201.46349750,101.58332000,1721666.46947680,8156,1670115300000,1670115599999,0,BTCUSDT,16950.27000000,16948.90000000,16948.56000000,16943.08000000,568.09750000,9627847.65717570,296.28583000,5021497.63908870,11443,1670115600000,1670115899999,0,BTCUSDT,16952.71000000,16946.06000000,16948.44000000,16945.33000000,359.96628000,6100692.23674030,162.46110000,2753479.37252150,9312,1670115900000,1670116199999,0,BTCUSDT,16951.13000000,16947.22000000,16946.60000000,16944.00000000,470.15949000,7967667.56976590,222.37116000,3768642.30438060,9997,1670116200000,1670116499999,0,BTCUSDT,16964.48000000,16960.52000000,16947.22000000,16935.00000000,1050.59514000,17809371.27467460,572.87811000,9711999.03168240,16353,1670116500000,1670116799999,0,BTCUSDT
16950.27000000,16948.90000000,16948.56000000,16943.08000000,568.09750000,9627847.65717570,296.28583000,5021497.63908870,11443,1670115600000,1670115899999,0,BTCUSDT,16952.71000000,16946.06000000,16948.44000000,16945.33000000,359.96628000,6100692.23674030,162.46110000,2753479.37252150,9312,1670115900000,1670116199999,0,BTCUSDT,16951.13000000,16947.22000000,16946.60000000,16944.00000000,470.15949000,7967667.56976590,222.37116000,3768642.30438060,9997,1670116200000,1670116499999,0,BTCUSDT,16964.48000000,16960.52000000,16947.22000000,16935.00000000,1050.59514000,17809371.27467460,572.87811000,9711999.03168240,16353,1670116500000,1670116799999,0,BTCUSDT,17005.54000000,17001.84000000,16960.52000000,16949.82000000,1812.67695000,30777556.19299540,1033.71489000,17552121.87799270,32846,1670116800000,1670117099999,0,BTCUSDT
16952.71000000,16946.06000000,16948.44000000,16945.33000000,359.96628000,6100692.23674030,162.46110000,2753479.37252150,9312,1670115900000,1670116199999,0,BTCUSDT,16951.13000000,16947.22000000,16946.60000000,16944.00000000,470.15949000,7967667.56976590,222.37116000,3768642.30438060,9997,1670116200000,1670116499999,0,BTCUSDT,16964.48000000,16960.52000000,16947.22000000,16935.00000000,1050.59514000,17809371.27467460,572.87811000,9711999.03168240,16353,1670116500000,1670116799999,0,BTCUSDT,17005.54000000,17001.84000000,16960.52000000,16949.82000000,1812.67695000,30777556.19299540,1033.71489000,17552121.87799270,32846,1670116800000,1670117099999,0,BTCUSDT,17049.45000000,17005.81000000,17002.51000000,17000.00000000,1431.72399000,24371355.68682540,735.85682000,12526332.17709300,33409,1670117100000,1670117399999,0,BTCUSDT
